scenario,measure,year,median,mean,ci_lower,ci_upper,alloc_strategy
optimumSan_who030718_v2,cases_cf,2029,2214334.735712976,2214733.941883201,2187050.3444604203,2252612.2070992687,optimumSan
optimumSan_who030718_v2,cases_cf,2030,2435428.5658256905,2435856.4397990857,2405376.3695854326,2477530.9565743697,optimumSan
optimumSan_who030718_v2,cases_cf,2031,2662936.2161439583,2663398.31011138,2630024.9503544476,2708981.716347921,optimumSan
optimumSan_who030718_v2,cases_cf,2032,2897052.845427072,2897549.326240151,2861191.1691327007,2947157.6623320435,optimumSan
optimumSan_who030718_v2,cases_cf,2033,3137973.950098701,3138504.9814716564,3099067.875654121,3192257.796029497,optimumSan
optimumSan_who030718_v2,cases_cf,2034,3385900.923090092,3386466.665650745,3343853.4665057096,3444487.1227491754,optimumSan
optimumSan_who030718_v2,cases_cf,2035,3641041.234100014,3641641.8450508015,3595752.318175677,3704056.8349867323,optimumSan
optimumSan_who030718_v2,casesAverted,2018,4832.690217974691,4835.1422316451935,4544.481828939505,5010.4558704438405,optimumSan
optimumSan_who030718_v2,casesAverted,2019,12002.314906451149,11897.905480857626,11277.52774751554,12329.14756219195,optimumSan
optimumSan_who030718_v2,casesAverted,2020,17478.541444535393,17309.02452801182,16279.817106474407,17997.835106854513,optimumSan
optimumSan_who030718_v2,casesAverted,2021,25384.632945980753,25153.438816904323,23804.361960622176,26065.65742317154,optimumSan
optimumSan_who030718_v2,casesAverted,2022,35705.35422563079,35374.51002312368,33319.84383846886,36774.10309871987,optimumSan
optimumSan_who030718_v2,casesAverted,2023,43312.401181703885,42846.3964531282,40078.86875450658,44722.49927191722,optimumSan
optimumSan_who030718_v2,casesAverted,2024,52539.65001781257,52003.813281968105,48791.06375415045,54164.281971516175,optimumSan
optimumSan_who030718_v2,casesAverted,2025,64731.5315090285,64079.42196829872,60141.83556009468,66774.18738000846,optimumSan
optimumSan_who030718_v2,casesAverted,2026,73748.72712014009,72992.10914454897,68309.62081368349,76218.41880328293,optimumSan
optimumSan_who030718_v2,casesAverted,2027,84321.15170759262,83469.86050121118,78335.8845444579,87021.11950067883,optimumSan
optimumSan_who030718_v2,casesAverted,2028,97916.95613320859,96946.0169301602,91017.39289543816,101056.60836752786,optimumSan
